file,time,id,a,b
g80sh-baseline-0919.etl,2026-09-19 17:08:52.955318,10011,"10","0"
g80sh-baseline-0919.etl,2026-09-19 17:08:52.955320,10011,"10","0"
g80sh-baseline-0919.etl,2026-09-19 17:08:52.956740,10011,"9","0"
g80sh-baseline-0919.etl,2026-09-19 17:08:52.956743,10011,"9","0"
g80sh-baseline-0919.etl,2026-09-19 17:08:52.956914,10011,"10","0"
g80sh-baseline-0919.etl,2026-09-19 17:08:52.956916,10011,"10","0"
g80sh-baseline-0919.etl,2026-09-19 17:08:52.956962,10011,"1","0"
g80sh-baseline-0919.etl,2026-09-19 17:08:52.957218,10011,"1","0"
g80sh-baseline-0919.etl,2026-09-19 17:08:52.957235,10011,"9","0"
g80sh-baseline-0919.etl,2026-09-19 17:08:52.957235,10011,"9","0"
g80sh-baseline-0919.etl,2026-09-19 17:08:52.957404,10011,"10","0"
g80sh-baseline-0919.etl,2026-09-19 17:08:52.957409,10011,"10","0"
g80sh-baseline-0919.etl,2026-09-19 17:08:52.958329,10011,"9","0"
g80sh-baseline-0919.etl,2026-09-19 17:08:52.958410,10011,"10","0"
g80sh-baseline-0919.etl,2026-09-19 17:08:52.958927,10011,"1","0"
g80sh-baseline-0919.etl,2026-09-19 17:08:52.958944,10011,"9","0"
g80sh-baseline-0919.etl,2026-09-19 17:08:52.959018,10011,"10","0"
g80sh-baseline-0919.etl,2026-09-19 17:08:52.959609,10011,"1","0"
g80sh-baseline-0919.etl,2026-09-19 17:08:52.959681,10011,"9","0"
g80sh-baseline-0919.etl,2026-09-19 17:08:52.959743,10011,"10","0"
g80sh-baseline-0919.etl,2026-09-19 17:08:52.963195,10011,"9","0"
g80sh-baseline-0919.etl,2026-09-19 17:08:52.963295,10011,"10","0"
g80sh-baseline-0919.etl,2026-09-19 17:08:52.963974,10011,"9","0"
g80sh-baseline-0919.etl,2026-09-19 17:08:52.964089,10011,"9","0"
g80sh-baseline-0919.etl,2026-09-19 17:08:52.964280,10011,"10","0"
g80sh-baseline-0919.etl,2026-09-19 17:08:52.964293,10011,"10","0"
g80sh-baseline-0919.etl,2026-09-19 17:08:52.970094,10011,"6","0"
g80sh-baseline-0919.etl,2026-09-19 17:08:52.970255,10011,"8","0"
g80sh-baseline-0919.etl,2026-09-19 17:08:52.970678,10011,"1","0"
g80sh-baseline-0919.etl,2026-09-19 17:08:52.971382,10011,"9","0"
g80sh-baseline-0919.etl,2026-09-19 17:08:52.971456,10011,"10","0"
g80sh-baseline-0919.etl,2026-09-19 17:08:52.971692,10011,"1","0"
g80sh-baseline-0919.etl,2026-09-19 17:08:52.971894,10011,"9","0"
g80sh-baseline-0919.etl,2026-09-19 17:08:52.971988,10011,"10","0"
g80sh-baseline-0919.etl,2026-09-19 17:08:52.974108,10011,"9","0"
g80sh-baseline-0919.etl,2026-09-19 17:08:52.974195,10011,"10","0"
g80sh-baseline-0919.etl,2026-09-19 17:08:52.976430,10011,"6","0"
g80sh-baseline-0919.etl,2026-09-19 17:08:52.976552,10011,"8","0"
g80sh-baseline-0919.etl,2026-09-19 17:08:52.976757,10011,"1","0"
g80sh-baseline-0919.etl,2026-09-19 17:08:52.978839,10011,"9","0"
g80sh-baseline-0919.etl,2026-09-19 17:08:52.978904,10011,"10","0"
g80sh-baseline-0919.etl,2026-09-19 17:08:52.980372,10011,"9","0"
g80sh-baseline-0919.etl,2026-09-19 17:08:52.980441,10011,"10","0"
g80sh-baseline-0919.etl,2026-09-19 17:08:52.996819,10011,"9","0"
g80sh-baseline-0919.etl,2026-09-19 17:08:52.996933,10011,"10","0"
g80sh-baseline-0919.etl,2026-09-19 17:08:53.000702,10011,"4","0"
g80sh-baseline-0919.etl,2026-09-19 17:08:53.000724,10011,"9","0"
g80sh-baseline-0919.etl,2026-09-19 17:08:53.000787,10011,"10","0"
g80sh-baseline-0919.etl,2026-09-19 17:08:53.000791,10011,"9","0"
g80sh-baseline-0919.etl,2026-09-19 17:08:53.000793,10011,"10","0"
g80sh-baseline-0919.etl,2026-09-19 17:08:53.001102,10011,"9","0"
g80sh-baseline-0919.etl,2026-09-19 17:08:53.001191,10011,"10","0"
g80sh-baseline-0919.etl,2026-09-19 17:08:53.022097,10011,"9","0"
g80sh-baseline-0919.etl,2026-09-19 17:08:53.022142,10011,"10","0"
g80sh-baseline-0919.etl,2026-09-19 17:08:53.022185,10011,"5","0"
g80sh-baseline-0919.etl,2026-09-19 17:08:53.022833,10011,"9","0"
g80sh-baseline-0919.etl,2026-09-19 17:08:53.022864,10011,"10","0"
g80sh-baseline-0919.etl,2026-09-19 17:08:53.022983,10011,"9","0"
g80sh-baseline-0919.etl,2026-09-19 17:08:53.023027,10011,"10","0"
g80sh-baseline-0919.etl,2026-09-19 17:08:53.023029,10011,"9","0"
g80sh-baseline-0919.etl,2026-09-19 17:08:53.023064,10011,"10","0"
g80sh-baseline-0919.etl,2026-09-19 17:08:53.025033,10011,"9","0"
g80sh-baseline-0919.etl,2026-09-19 17:08:53.025037,10011,"9","0"
