file,time,id,a,b,c
g80sh-conn-0923-2325-1.etl,2026-09-23 23:30:37.270509,1010,"DISPLAY\SAM7B0C\7&16b8ddb4&0&UID260",,
g80sh-conn-0923-2325-1.etl,2026-09-23 23:30:37.331136,1099,"0",0,0
g80sh-conn-0923-2325-1.etl,2026-09-23 23:30:37.586037,1099,"260",8,18398
g80sh-conn-0923-2325-1.etl,2026-09-23 23:30:37.586109,1099,"0",0,0
g80sh-conn-0923-2325-1.etl,2026-09-23 23:30:37.586179,220,"GPU",,
g80sh-conn-0923-2325-1.etl,2026-09-23 23:30:37.631690,1010,"DISPLAY\Default_Monitor\7&16b8ddb4&0&UID260",,
g80sh-conn-0923-2325-1.etl,2026-09-23 23:30:37.667206,1099,"0",0,0
g80sh-conn-0923-2325-1.etl,2026-09-23 23:30:40.907221,1099,"260",10,18399
g80sh-conn-0923-2325-1.etl,2026-09-23 23:30:41.156380,1099,"0",0,0
g80sh-conn-0923-2325-1.etl,2026-09-23 23:30:41.156432,220,"GPU",,
g80sh-conn-0923-2325-1.etl,2026-09-23 23:30:41.181391,1099,"0",0,0
g80sh-conn-0923-2325-1.etl,2026-09-23 23:31:32.152970,1099,"256",10,18400
g80sh-conn-0923-2325-1.etl,2026-09-23 23:31:32.152985,1099,"257",8,18401
g80sh-conn-0923-2325-1.etl,2026-09-23 23:31:32.152990,1099,"258",8,18402
g80sh-conn-0923-2325-1.etl,2026-09-23 23:31:32.152995,1099,"259",8,18403
g80sh-conn-0923-2325-1.etl,2026-09-23 23:31:32.153002,1099,"260",10,18404
g80sh-conn-0923-2325-1.etl,2026-09-23 23:31:32.153009,1099,"261",8,18405
g80sh-conn-0923-2325-1.etl,2026-09-23 23:31:32.153013,1099,"262",8,18406
g80sh-conn-0923-2325-1.etl,2026-09-23 23:31:32.153018,1099,"263",8,18407
g80sh-conn-0923-2325-1.etl,2026-09-23 23:31:32.153022,1099,"264",8,18408
g80sh-conn-0923-2325-1.etl,2026-09-23 23:31:32.153031,1099,"265",10,18409
g80sh-conn-0923-2325-1.etl,2026-09-23 23:31:32.153038,1099,"266",8,18410
